RECORD_KEY,MASTER_660_ID,ORIGINE,NOVITA,COMUNE,TITOLO,TIPOLOGIA,INDIRIZZO,TARGET_RICERCA,STATO_RICERCA,LAT,LON,GEOCODE_DISPLAY,CATASTO_LOCAL_ID,CODICE_BELFIORE,FOGLIO_RAW,PARTICELLA,FONTE_CATASTO,URL_SEGNALE,PRIMA_RILEVAZIONE,ULTIMO_CONTROLLO_CATASTO
LIVE-b2c1e692d0839f71,,RADAR_LIVE,NO,Collegno,Vendita Appartamento Collegno. Trilocale in via Castagnevizza 24. Nuovo ...,NON_CLASSIFICATO,via Castagnevizza 24,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/122446628/,2026-09-01T18:58:42.119916+00:00,2026-09-03T19:01:31.709925+00:00
LIVE-2e8887820fc6c55f,,RADAR_LIVE,NO,Collegno,Vendita Appartamento Collegno. Trilocale in corso Francia 48. Buono ...,NON_CLASSIFICATO,corso Francia 48,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/123495325/,2026-09-01T18:58:42.119933+00:00,2026-09-03T19:01:31.709930+00:00
LIVE-64fc2e86e4858279,,RADAR_LIVE,NO,Condove,"Appartamento 5 locali, 125 m² in Via LEOPARDI 8/A, Condove (TO)",NON_CLASSIFICATO,Via LEOPARDI 8/A,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://asteflorio.it/aste/appartamento-5-5-locali-a-condove-to-condove,2026-09-01T18:58:42.119954+00:00,2026-09-03T19:01:31.709936+00:00
LIVE-010be7445746cfd1,,RADAR_LIVE,NO,Condove,"Vendita Terratetto unifamiliare in Moni Condove. Ottimo stato, posto ...",NON_CLASSIFICATO,,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/120943146/,2026-09-01T18:58:42.120007+00:00,2026-09-03T19:01:31.709942+00:00
LIVE-f74d92de967c1da1,,RADAR_LIVE,NO,Condove,Vendita Terratetto unifamiliare in Borgata Colombo 7 Villar Dora. Da ...,NON_CLASSIFICATO,Borgata Colombo 7,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/126549253/,2026-09-01T18:58:42.120020+00:00,2026-09-03T19:01:31.709947+00:00
LIVE-c1903eb592dbf889,,RADAR_LIVE,NO,Exilles,"Casa di paese in vendita in Strada di San Colombano s.n.c, Exilles ...",NON_CLASSIFICATO,Strada di San Colombano s.n.c,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.idealista.it/immobile/30857803/,2026-09-01T18:58:42.120056+00:00,2026-09-03T19:01:31.709955+00:00
LIVE-dcb434b95c5db4d2,,RADAR_LIVE,NO,Exilles,Vendita Appartamento Torino. Trilocale in via Exilles 45. Buono stato ...,NON_CLASSIFICATO,via Exilles 45,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/132066874/,2026-09-01T18:58:42.120076+00:00,2026-09-03T19:01:31.709960+00:00
LIVE-da39580538fcb912,,RADAR_LIVE,NO,Exilles,Vendita Appartamento Torino. Quadrilocale in via Exilles 33. Ottimo ...,NON_CLASSIFICATO,via Exilles 33,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/127962714/,2026-09-01T18:58:42.120082+00:00,2026-09-03T19:01:31.709965+00:00
LIVE-1fd679ce7edc095d,,RADAR_LIVE,NO,Exilles,Vendita Appartamento Torino. Quadrilocale in via exilles 84. Ottimo ...,NON_CLASSIFICATO,via exilles 84,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/131138930/,2026-09-01T18:58:42.120088+00:00,2026-09-03T19:01:31.709970+00:00
LIVE-a9c230105c41220b,,RADAR_LIVE,NO,Exilles,"Vendita Attico in via Exilles 36 Torino. Buono stato, con terrazza, rif ...",NON_CLASSIFICATO,via Exilles 36,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/128415124/,2026-09-01T18:58:42.120094+00:00,2026-09-03T19:01:31.709976+00:00
