PRIORITA,SCORE,TIPO_OPPORTUNITA,TARGET,FASE_PROGETTO,OBIETTIVO_COMMERCIALE,COMUNE,FONTE,TITOLO,PREZZO,PREZZO_PRECEDENTE,RIBASSI,INDIZIO_INSERZIONISTA,STATO,PRIMA_RILEVAZIONE,ULTIMO_CONTROLLO,MOTIVI,PDF_DA_VERIFICARE,URL,CONTATTO_PRONTO,CONTATTI_PUBBLICI,FONTE_CONTATTO,CROSS_MATCH,NOME_INSERZIONISTA,RICERCA_PUBBLICA,VIA_RADAR,INDIRIZZI_ZONA,AZIONE_ZONA,DOVE_ANDRE,COSA_CERCO,PREZZO_OPERATIVO,ISTRUZIONE_OPERATIVA,F1_INDIRIZZO_REMOTO_URL,MASTER_660_ID,TIPOLOGIA_REALE_INFERITA,ASTA_RILEVATA,STATO_INDIRIZZO_MASTER,MASTER_PRESERVATO
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Giaveno,Agenzie,Casa Semindipendente Giaveno - Immobiliare La Sacra,,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.080096+00:00,2026-08-27T21:04:17.080097+00:00,nuova rilevazione,,https://lasacraimmobiliare.it/products/casa-semindipendente-ristrutturata-in-vendita-a-giaveno-borgata-san-filippo,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Casa Semindipendente Giaveno - Immobiliare La Sacra,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,86,PAGINA_AGENZIA_SERVIZIO,NO,DA_VERIFICARE,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Grugliasco,Idealista,"Trilocale in vendita in Via Michelangelo Buonarroti, 53, Grugliasco ...",,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.080198+00:00,2026-08-27T21:04:17.080199+00:00,nuova rilevazione,,https://www.idealista.it/immobile/36137925/,NO,,,0,,NON_ESEGUITA,,,,"Via Michelangelo Buonarroti, 53","Trilocale in vendita in Via Michelangelo Buonarroti, 53, Grugliasco",PREZZO DA VERIFICARE,VAI IN ZONA,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-262DFB7AD7C4306F&comune=Grugliasco&provincia=TO&via=Via+Michelangelo+Buonarroti&civico=53&url=https%3A%2F%2Fwww.idealista.it%2Fimmobile%2F36137925%2F&titolo=Trilocale+in+vendita+in+Via+Michelangelo+Buonarroti%2C+53%2C+Grugliasco+...&segnale=nuova+rilevazione&fonte=Idealista&telefono=&telefono_fonte=,87,APPARTAMENTO,NO,CON_CIVICO,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Grugliasco,Nestoria,27.263 immobili in vendita a Gerbido Grugliasco - Nestoria,,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.080226+00:00,2026-08-27T21:04:17.080227+00:00,nuova rilevazione,,https://www.nestoria.it/immobiliare/vendita/gerbido_grugliasco,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,27.263 immobili in vendita a Gerbido Grugliasco - Nestoria,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,88,PAGINA_RICERCA_CATEGORIA,NO,DA_VERIFICARE,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Meana di Susa,Agenzie,16 Rustici in vendita a Meana Di Susa - Mitula Case,,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.080349+00:00,2026-08-27T21:04:17.080351+00:00,nuova rilevazione,,https://immobiliare.mitula.it/rustico-meana-susa,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,16 Rustici in vendita a Meana Di Susa - Mitula Case,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,89,PAGINA_RICERCA_CATEGORIA,NO,DA_VERIFICARE,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Meana di Susa,Immobiliare.it,Vendita Villa bifamiliare in via Gravere Meana di Susa. Buono stato ...,,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.080361+00:00,2026-08-27T21:04:17.080362+00:00,nuova rilevazione,,https://www.immobiliare.it/annunci/125433055/,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Vendita Villa bifamiliare in via Gravere Meana di Susa. Buono stato,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,90,VILLA,NO,DA_VERIFICARE,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Oulx,Nestoria,Case e appartamenti a Oulx. Immobili in vendita a Oulx - Nestoria,,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.080392+00:00,2026-08-27T21:04:17.080394+00:00,nuova rilevazione,,https://www.nestoria.it/immobiliare/vendita/oulx,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Case e appartamenti a Oulx. Immobili in vendita a Oulx - Nestoria,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,91,PAGINA_RICERCA_CATEGORIA,NO,DA_VERIFICARE,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Pianezza,Mercato generale,L'osservatorio del mercato immobiliare a Pianezza.,,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.080496+00:00,2026-08-27T21:04:17.080497+00:00,nuova rilevazione,,https://www.mercato-immobiliare.info/piemonte/torino/pianezza.html,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,L'osservatorio del mercato immobiliare a Pianezza,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,92,ALTRO_NON_DETERMINATO,NO,DA_VERIFICARE,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Rivoli,Agenzie,Cinzia Vitale Immobiliare - Rivoli (TO),,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.080630+00:00,2026-08-27T21:04:17.080632+00:00,nuova rilevazione,,https://www.cinziavitaleimmobiliare.it/,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Cinzia Vitale Immobiliare - Rivoli (TO),PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,93,PAGINA_AGENZIA_SERVIZIO,NO,DA_VERIFICARE,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Rubiana,Immobiliare.it,"Appartamento all'asta Borgata Balma, 14, Rubiana",,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.080825+00:00,2026-08-27T21:04:17.080826+00:00,nuova rilevazione,,https://www.immobiliare.it/annunci/131773094/,NO,,,0,,NON_ESEGUITA,,,,"Borgata Balma, 14","Appartamento all'asta Borgata Balma, 14, Rubiana",PREZZO DA VERIFICARE,VAI IN ZONA,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-24684ED0769865BC&comune=Rubiana&provincia=TO&via=Borgata+Balma&civico=14&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F131773094%2F&titolo=Appartamento+all%27asta+Borgata+Balma%2C+14%2C+Rubiana&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=,94,APPARTAMENTO,SI,CON_CIVICO,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Rubiana,Immobiliare.it,"Asta per appartamento, via Roma, 54 Rubiana, rif. 131772870 ...",,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.080830+00:00,2026-08-27T21:04:17.080832+00:00,nuova rilevazione,,https://www.immobiliare.it/annunci/131772870/,NO,,,0,,NON_ESEGUITA,,,,"via Roma, 54","Asta per appartamento, via Roma, 54 Rubiana, rif. 131772870",PREZZO DA VERIFICARE,VAI IN ZONA,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-BAC5CD3D25AB466C&comune=Rubiana&provincia=TO&via=via+Roma&civico=54&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F131772870%2F&titolo=Asta+per+appartamento%2C+via+Roma%2C+54+Rubiana%2C+rif.+131772870+...&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=,95,APPARTAMENTO,SI,CON_CIVICO,SI
BASSA,30,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,San Didero,Capannoni logistica,Magazzino All'asta In Via Roma 34 - 10050 San Didero (TO),10500,,0,NON_DETERMINATO,TRACKED,2026-08-27T21:04:17.080836+00:00,2026-08-28T10:58:40.671706+00:00,prezzo rilevato | industriale logistica,,https://www.immobiliallasta.it/immobili/torino/san-didero/ex8025918/magazzino-all-asta-in-via-roma-34-10050-san-didero-to,NO,,,0,,NON_ESEGUITA,,,,Via Roma 34,Magazzino All'asta In Via Roma 34 - 10050 San Didero (TO),10500,VAI IN ZONA / CONTATTA PER ACQUISIZIONE CAPANNONE / MAGAZZINO,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-31343DE624D175B5&comune=San+Didero&provincia=TO&via=Via+Roma&civico=34&url=https%3A%2F%2Fwww.immobiliallasta.it%2Fimmobili%2Ftorino%2Fsan-didero%2Fex8025918%2Fmagazzino-all-asta-in-via-roma-34-10050-san-didero-to&titolo=Magazzino+All%27asta+In+Via+Roma+34+-+10050+San+Didero+%28TO%29&segnale=prezzo+rilevato+%7C+industriale+logistica&fonte=Capannoni+logistica&telefono=&telefono_fonte=,96,CAPANNONE_MAGAZZINO,SI,CON_CIVICO,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,San Didero,Immobiliare.it,"Vendita Terratetto unifamiliare San Didero. Buono stato, posto auto ...",,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.080872+00:00,2026-08-27T21:04:17.080874+00:00,nuova rilevazione,,https://www.immobiliare.it/annunci/126137637/,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,"Vendita Terratetto unifamiliare San Didero. Buono stato, posto auto",PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,97,CASA_INDIPENDENTE_TERRATETTO,NO,DA_VERIFICARE,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,San Valeriano,Immobiliare.it,"Terreno edificabile via Montenero 13, Borgone Susa, rif. 106364919 ...",,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.080925+00:00,2026-08-27T21:04:17.080926+00:00,nuova rilevazione,,https://www.immobiliare.it/annunci/106364919/,NO,,,0,,NON_ESEGUITA,,,,via Montenero 13,"Terreno edificabile via Montenero 13, Borgone Susa, rif. 106364919",PREZZO DA VERIFICARE,VAI IN ZONA,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-FFB408F2DD47CA1A&comune=San+Valeriano&provincia=TO&via=via+Montenero&civico=13&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F106364919%2F&titolo=Terreno+edificabile+via+Montenero+13%2C+Borgone+Susa%2C+rif.+106364919+...&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=,98,TERRENO,NO,CON_CIVICO,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Sangano,Agenzie,Immobiliari all'Asta Sangano - Fallimenti.it,,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.080948+00:00,2026-08-27T21:04:17.080949+00:00,nuova rilevazione,,https://www.fallimenti.it/torino-sangano/aste-immobiliari,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Immobiliari all'Asta Sangano - Fallimenti.it,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,99,PAGINA_AGENZIA_SERVIZIO,SI,DA_VERIFICARE,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Sant'Antonino di Susa,Immobiliare.it,Vendita Appartamento Sant'Antonino di Susa. Quadrilocale in via ...,,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.081021+00:00,2026-08-27T21:04:17.081023+00:00,nuova rilevazione,,https://www.immobiliare.it/annunci/122250646/,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Vendita Appartamento Sant'Antonino di Susa. Quadrilocale in via,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,100,APPARTAMENTO,NO,DA_VERIFICARE,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Sant'Antonino di Susa,Immobiliare.it,Vendita Appartamento in via Roma 11. Sant'Antonino di Susa. Ottimo ...,,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.081027+00:00,2026-08-27T21:04:17.081028+00:00,nuova rilevazione,,https://www.immobiliare.it/annunci/110299157/,NO,,,0,,NON_ESEGUITA,,,,via Roma 11,Vendita Appartamento in via Roma 11. Sant'Antonino di Susa. Ottimo,PREZZO DA VERIFICARE,VAI IN ZONA,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-EECA5D6D4DAE056B&comune=Sant%27Antonino+di+Susa&provincia=TO&via=via+Roma&civico=11&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F110299157%2F&titolo=Vendita+Appartamento+in+via+Roma+11.+Sant%27Antonino+di+Susa.+Ottimo+...&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=,101,APPARTAMENTO,NO,CON_CIVICO,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Susa,Wikicasa,Case in vendita a Susa - Wikicasa,,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.081061+00:00,2026-08-27T21:04:17.081063+00:00,nuova rilevazione,,https://www.wikicasa.it/vendita-case/susa/,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Case in vendita a Susa - Wikicasa,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,102,PAGINA_RICERCA_CATEGORIA,NO,DA_VERIFICARE,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Trana,Idealista,"Trilocale in vendita in Strada Avigliana, 16, Trana — idealista, N.1 in ...",,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.081100+00:00,2026-08-27T21:04:17.081102+00:00,nuova rilevazione,,https://www.idealista.it/immobile/36330718/,NO,,,0,,NON_ESEGUITA,,,,"Strada Avigliana, 16","Trilocale in vendita in Strada Avigliana, 16, Trana — idealista, N.1 in",PREZZO DA VERIFICARE,VAI IN ZONA,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-9932B5747EA5664C&comune=Trana&provincia=TO&via=Strada+Avigliana&civico=16&url=https%3A%2F%2Fwww.idealista.it%2Fimmobile%2F36330718%2F&titolo=Trilocale+in+vendita+in+Strada+Avigliana%2C+16%2C+Trana+%E2%80%94+idealista%2C+N.1+in+...&segnale=nuova+rilevazione&fonte=Idealista&telefono=&telefono_fonte=,103,APPARTAMENTO,NO,CON_CIVICO,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Val della Torre,Immobiliare.it,Vendita Rustico in via Castello 71 Val della Torre. Da ristrutturare ...,,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.081221+00:00,2026-08-27T21:04:17.081223+00:00,nuova rilevazione,,https://www.immobiliare.it/annunci/130837718/,NO,,,0,,NON_ESEGUITA,,,,via Castello 71,Vendita Rustico in via Castello 71 Val della Torre. Da ristrutturare,PREZZO DA VERIFICARE,VAI IN ZONA,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-A33309CBDA090576&comune=Val+della+Torre&provincia=TO&via=via+Castello&civico=71&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F130837718%2F&titolo=Vendita+Rustico+in+via+Castello+71+Val+della+Torre.+Da+ristrutturare+...&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=,104,RUSTICO_CASALE_BAITA,NO,CON_CIVICO,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Villar Dora,Immobiliare.it,Vendita Villa unifamiliare in via Borgionera 6 Villar Dora. Da ...,,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.081337+00:00,2026-08-27T21:04:17.081338+00:00,nuova rilevazione,,https://www.immobiliare.it/annunci/127214869/,NO,,,0,,NON_ESEGUITA,,,,via Borgionera 6,Vendita Villa unifamiliare in via Borgionera 6 Villar Dora. Da,PREZZO DA VERIFICARE,VAI IN ZONA,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-638ECB973CD468A1&comune=Villar+Dora&provincia=TO&via=via+Borgionera&civico=6&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F127214869%2F&titolo=Vendita+Villa+unifamiliare+in+via+Borgionera+6+Villar+Dora.+Da+...&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=,105,VILLA,NO,CON_CIVICO,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Villar Focchiardo,Casa.it,"Rustico, casale in Vendita in Via Preinera 10050 a Villar Focchiardo",,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.081364+00:00,2026-08-27T21:04:17.081366+00:00,nuova rilevazione,,https://www.casa.it/immobili/54614855/,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,"Rustico, casale in Vendita in Via Preinera 10050 a Villar Focchiardo",PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,106,RUSTICO_CASALE_BAITA,NO,DA_VERIFICARE,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Villar Focchiardo,Immobiliare.it,"Asta per rustico - casale, , Baratte Villar Focchiardo, rif. 131963176 ...",,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.081375+00:00,2026-08-27T21:04:17.081377+00:00,nuova rilevazione,,https://www.immobiliare.it/annunci/131963176/,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,"Asta per rustico - casale, , Baratte Villar Focchiardo, rif. 131963176",PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,107,RUSTICO_CASALE_BAITA,SI,DA_VERIFICARE,SI
BASSA,30,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Villarbasse,Immobiliare.it,Vendita Terratetto unifamiliare in via San Rocco 9/B Villarbasse. Da ...,49000,,0,NON_DETERMINATO,TRACKED,2026-08-27T21:04:17.081443+00:00,2026-08-28T10:58:40.672353+00:00,prezzo rilevato | industriale logistica,,https://www.immobiliare.it/annunci/124965305/,NO,,,0,,NON_ESEGUITA,,,,via San Rocco 9/B,Vendita Terratetto unifamiliare in via San Rocco 9/B Villarbasse. Da,49000,VAI IN ZONA / CONTATTA PER ACQUISIZIONE CAPANNONE / MAGAZZINO,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-F818EDF2E4A569AB&comune=Villarbasse&provincia=TO&via=via+San+Rocco&civico=9%2FB&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F124965305%2F&titolo=Vendita+Terratetto+unifamiliare+in+via+San+Rocco+9%2FB+Villarbasse.+Da+...&segnale=prezzo+rilevato+%7C+industriale+logistica&fonte=Immobiliare.it&telefono=&telefono_fonte=,108,CASA_INDIPENDENTE_TERRATETTO,NO,CON_CIVICO,SI
BASSA,30,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Alpignano,Capannoni logistica,Capannone Vendita Alpignano - 31 case in vendita in Alpignano de Nuroa.it,140000,,0,NON_DETERMINATO,TRACKED,2026-08-28T05:06:35.529823+00:00,2026-08-28T10:58:40.669760+00:00,prezzo rilevato | industriale logistica,,https://www.nuroa.it/vendita-immobili/capannone-vendita-alpignano,NO,,,0,,ESEGUITA,Via dei Ronchi,Via dei Ronchi 51/A6 | Via dei Ronchi 51 | via dei Ronchi 270,VAI IN ZONA,Via dei Ronchi 51/A6,Capannone Vendita Alpignano - 31 case in vendita in Alpignano de Nuroa.it,140000,VAI IN ZONA / CONTATTA PER ACQUISIZIONE CAPANNONE / MAGAZZINO,,109,PAGINA_RICERCA_CATEGORIA,NO,CON_CIVICO,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Bardonecchia,Immobiliare.it,"Vendita Baita Bardonecchia. Buono stato, 150 m², rif. 122595374",,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.529995+00:00,2026-08-28T05:06:35.529996+00:00,nuova rilevazione,,https://www.immobiliare.it/annunci/122595374/,NO,,,0,,ESEGUITA,,,,INDIRIZZO DA VERIFICARE,"Vendita Baita Bardonecchia. Buono stato, 150 m², rif. 122595374",PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,110,RUSTICO_CASALE_BAITA,NO,DA_VERIFICARE,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Bardonecchia,Immobiliare.it,Vendita Appartamento in Borgata Horres-Garnier. Bardonecchia. Buono ...,,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.530000+00:00,2026-08-28T05:06:35.530001+00:00,nuova rilevazione,,https://www.immobiliare.it/annunci/131871204/,NO,,,0,,ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Vendita Appartamento in Borgata Horres-Garnier. Bardonecchia. Buono,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,111,APPARTAMENTO,NO,DA_VERIFICARE,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Borgone Susa,Immobiliare.it,Vendita Appartamento Borgone Susa. Trilocale in via Tenente Mario Tacca ...,,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.530112+00:00,2026-08-28T05:06:35.530113+00:00,nuova rilevazione,,https://www.immobiliare.it/annunci/125068245/,NO,,,0,al primo piano di una porzione di casa. L'immobile si,ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Vendita Appartamento Borgone Susa. Trilocale in via Tenente Mario Tacca,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,112,APPARTAMENTO,NO,DA_VERIFICARE,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Borgone Susa,Immobiliare.it,Vendita Appartamento Borgone Susa. Bilocale in via Ponte Dora 2. Nuovo ...,,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.530116+00:00,2026-08-28T05:06:35.530117+00:00,nuova rilevazione,,https://www.immobiliare.it/annunci/119519371/,NO,,,0,,ESEGUITA,via Ponte Dora,via Ponte Dora 2,VAI IN ZONA,via Ponte Dora 2,Vendita Appartamento Borgone Susa. Bilocale in via Ponte Dora 2. Nuovo,PREZZO DA VERIFICARE,VAI IN ZONA,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-EB1E8E8BBB4906FF&comune=Borgone+Susa&provincia=TO&via=via+Ponte+Dora&civico=2&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F119519371%2F&titolo=Vendita+Appartamento+Borgone+Susa.+Bilocale+in+via+Ponte+Dora+2.+Nuovo+...&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=,113,APPARTAMENTO,NO,CON_CIVICO,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Condove,Mercato residenziale,"Case in vendita a Poisatto, Condove",,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.530536+00:00,2026-08-28T05:06:35.530537+00:00,nuova rilevazione,,https://caseinvenditainaffitto.it/case-in-vendita/poisatto-condove,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,"Case in vendita a Poisatto, Condove",PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,114,PAGINA_RICERCA_CATEGORIA,NO,DA_VERIFICARE,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Grugliasco,Immobiliare.it,Vendita Villa bifamiliare in via Francesco Baracca Grugliasco. Buono ...,,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.530764+00:00,2026-08-28T05:06:35.530765+00:00,nuova rilevazione,,https://www.immobiliare.it/annunci/131466108/,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Vendita Villa bifamiliare in via Francesco Baracca Grugliasco. Buono,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,115,VILLA,NO,DA_VERIFICARE,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Grugliasco,Immobiliare.it,Vendita Appartamento Grugliasco. Quadrilocale in via Milano 78. Ottimo ...,,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.530785+00:00,2026-08-28T05:06:35.530786+00:00,nuova rilevazione,,https://www.immobiliare.it/annunci/131339370/,NO,,,0,,NON_ESEGUITA,,,,via Milano 78,Vendita Appartamento Grugliasco. Quadrilocale in via Milano 78. Ottimo,PREZZO DA VERIFICARE,VAI IN ZONA,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-8DC15E0988455BEE&comune=Grugliasco&provincia=TO&via=via+Milano&civico=78&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F131339370%2F&titolo=Vendita+Appartamento+Grugliasco.+Quadrilocale+in+via+Milano+78.+Ottimo+...&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=,116,APPARTAMENTO,NO,CON_CIVICO,SI
BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Meana di Susa,Immobiliare.it,Vendita Villa bifamiliare in via Colle delle Finestre 16 Meana di Susa ...,,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.530883+00:00,2026-08-28T05:06:35.530884+00:00,nuova rilevazione,,https://www.immobiliare.it/annunci/123924605/,NO,,,0,,NON_ESEGUITA,,,,via Colle delle Finestre 16,Vendita Villa bifamiliare in via Colle delle Finestre 16 Meana di Susa,PREZZO DA VERIFICARE,VAI IN ZONA,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-40421AC02A64E1BF&comune=Meana+di+Susa&provincia=TO&via=via+Colle+delle+Finestre&civico=16&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F123924605%2F&titolo=Vendita+Villa+bifamiliare+in+via+Colle+delle+Finestre+16+Meana+di+Susa+...&segnale=nuova+rilevazione&fonte=Immobiliare.it&telefono=&telefono_fonte=,117,VILLA,NO,CON_CIVICO,SI
