ITEM_ID,COMUNE,TIPO_ANNUNCIO,VIA_RADAR,AZIONE,TARGET,TELEFONO,STATO,FONTE
8ea27ac2188aa7571e12,Avigliana,INDIZIO_AGENZIA,Corso Laghi,VAI_IN_ZONA,Corso Laghi 208,,PRONTO,https://avigliana1.tecnorete.it/immobili-in-vendita
8ea27ac2188aa7571e12,Avigliana,INDIZIO_AGENZIA,Corso Laghi,VAI_IN_ZONA,Corso Laghi 3,,PRONTO,https://avigliana1.tecnorete.it/immobili-in-vendita
8ea27ac2188aa7571e12,Avigliana,INDIZIO_AGENZIA,Corso Laghi,VAI_IN_ZONA,corso Laghi 238,,PRONTO,https://avigliana1.tecnorete.it/immobili-in-vendita
8ea27ac2188aa7571e12,Avigliana,INDIZIO_AGENZIA,Corso Laghi,VAI_IN_ZONA,corso Laghi 165,,PRONTO,https://avigliana1.tecnorete.it/immobili-in-vendita
8b565539856bab5ada39,Bardonecchia,INDIZIO_AGENZIA,Via Sommeiller,VAI_IN_ZONA,Via Sommeiller 8,,PRONTO,https://www.gabetti.it/vendita/bardonecchia
318b0b8cf624873620cf,Borgone Susa,INDIZIO_AGENZIA,Via Bruno Mosconi,VAI_IN_ZONA,Via Bruno Mosconi 4,,PRONTO,https://www.tecnorete.it/annunci/immobili/piemonte/torino/borgone-susa.html
4f5cf204b69e8b17d71a,Bruzolo,NON_DETERMINATO,Via dei Mille,VAI_IN_ZONA,Via dei Mille 19,,PRONTO,https://www.casa.it/immobili/53531383/
7eb7633fa452b0c25637,Caselette,INDIZIO_AGENZIA,Via Ciriè,VAI_IN_ZONA,Via Ciriè 15,,PRONTO,https://www.gabetti.it/vendita/caselette
7b44780d0bc664387b4a,Coazze,NON_DETERMINATO,via Freinetto,VAI_IN_ZONA,via Freinetto 50,,PRONTO,https://www.caasa.it/torino/coazze/villa/in-vendita.html
7b44780d0bc664387b4a,Coazze,NON_DETERMINATO,via Freinetto,VAI_IN_ZONA,Via Freinetto 22,,PRONTO,https://www.caasa.it/torino/coazze/villa/in-vendita.html
7b44780d0bc664387b4a,Coazze,NON_DETERMINATO,via Freinetto,VAI_IN_ZONA,Via Freinetto 16,,PRONTO,https://www.caasa.it/torino/coazze/villa/in-vendita.html
7b44780d0bc664387b4a,Coazze,NON_DETERMINATO,via Freinetto,VAI_IN_ZONA,via freinetto 51,,PRONTO,https://www.caasa.it/torino/coazze/villa/in-vendita.html
7b44780d0bc664387b4a,Coazze,NON_DETERMINATO,via Freinetto,VAI_IN_ZONA,Via Freinetto 43,,PRONTO,https://www.caasa.it/torino/coazze/villa/in-vendita.html
f44ad5fa03f6ed2409e9,Collegno,INDIZIO_PRIVATO,viale XXIV Maggio,VAI_IN_ZONA,viale XXIV Maggio 54,,PRONTO,https://www.clickcase.it/annunci/vendita-case-privati-collegno.html
f44ad5fa03f6ed2409e9,Collegno,INDIZIO_PRIVATO,viale XXIV Maggio,VAI_IN_ZONA,Viale XXIV Maggio 20,,PRONTO,https://www.clickcase.it/annunci/vendita-case-privati-collegno.html
d0285dc04def4380e9a9,Condove,INDIZIO_AGENZIA,Via Moncenisio,VAI_IN_ZONA,Via Moncenisio 72,,PRONTO,https://www.idealista.it/immobile/33250712/
