ID,COMUNE,TITOLO,FONTE,URL,MOTIVO_SCARTO
3e4ee9b8411e76f28ea2,Sant'Antonino di Susa,Case in vendita Sant'Antonino di Susa - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/sant-antonino-di-susa/,PAGINA_CATEGORIA
f8de2593abe626c0d539,Susa,"Case in vendita a Susa, Valli Susa, Sangone",Agenzie,https://caseinvenditainaffitto.it/case-in-vendita/susa-valli-susa-sangone,PAGINA_CATEGORIA
109f6f12102b36ee5655,Susa,Case in vendita da Privati a Susa - CasaDaPrivato.it,Mercato residenziale,https://www.casadaprivato.it/annunci-vendita/immobili/torino-susa,PAGINA_CATEGORIA
e20df286bfce7076ef6a,Susa,Case in vendita Susa - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/susa/,PAGINA_CATEGORIA
93665adc2504e2dce758,Trana,Più di dieci ville in vendita a Trana Moranda. - Caasa,Mercato generale,https://www.caasa.it/torino/trana-zona-moranda/villa/in-vendita.html,EVIDENZA_INSUFFICIENTE
d289c9f4223e046d30bc,Venaus,279 Immobili in vendita a Venaus - Mitula Case,Uffici e direzionale,https://immobiliare.mitula.it/venaus,EVIDENZA_INSUFFICIENTE
7508b733beefa70e7c85,Villarbasse,Vendita Ville a Villarbasse: Annunci Immobiliari | YesCasa,Mercato generale,https://www.yescasa.it/vendita-ville/villarbasse/,EVIDENZA_INSUFFICIENTE
eb21a7194edb3f169bea,Bardonecchia,Case in vendita Bardonecchia - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/bardonecchia/,PAGINA_CATEGORIA
5649ec0eb4392b9eda5c,Borgone Susa,Case a Borgone Susa. Ville in vendita a Borgone Susa - Nestoria,Nestoria,https://www.nestoria.it/case/vendita/borgone-susa,EVIDENZA_INSUFFICIENTE
af08fd890ebe132d1a48,Borgone Susa,271 Immobili in vendita a Borgone Susa - Mitula Case,Mercato residenziale,https://immobiliare.mitula.it/borgone-susa,EVIDENZA_INSUFFICIENTE
a984b5642dca97af5a62,Condove,Case in vendita Condove - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/condove/,PAGINA_CATEGORIA
aead058de8b8af15f838,Giaglione,Case a Giaglione. Ville in vendita a Giaglione - Nestoria,Nestoria,https://www.nestoria.it/case/vendita/giaglione,EVIDENZA_INSUFFICIENTE
84b54a494922c3f71596,Meana di Susa,38 immobili in vendita a Meana di Susa - Trovit,Trovit,https://case.trovit.it/meana-susa,EVIDENZA_INSUFFICIENTE
16b17770da0928a0825c,Rivoli,Case in Vendita da Privati Rivoli - ClickCase.it,Mercato generale,https://www.clickcase.it/annunci/vendita-case-privati-rivoli.html,PAGINA_CATEGORIA
05d5ca7161fecf206fee,Trana,Case in vendita Trana - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/trana/,PAGINA_CATEGORIA
5c3fa8da79ad24c05139,Vaie,"Case in vendita a Vaie, Valli Susa, Sangone",Mercato generale,https://caseinvenditainaffitto.it/case-in-vendita/vaie-valli-susa-sangone,PAGINA_CATEGORIA
7ca6d133fec2832a3e77,Vaie,Case in vendita Vaie - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/vaie/,PAGINA_CATEGORIA
08457ed9166d8b5663bd,Villar Focchiardo,Monolocali in vendita Villar Focchiardo (TO),Mercato residenziale,https://www.caseinvendita360.com/monolocale-vendita-villar-focchiardo-to,EVIDENZA_INSUFFICIENTE
86b759f47381baaa78bf,Avigliana,Case e appartamenti a Avigliana. Immobili in vendita a Avigliana - Nestoria,Nestoria,https://www.nestoria.it/immobiliare/vendita/avigliana,EVIDENZA_INSUFFICIENTE
899f1b1a99b411684f64,Buttigliera Alta,Case in vendita a Buttigliera Alta • Wikicasa,Wikicasa,https://www.wikicasa.it/vendita-case/buttigliera-alta/,PAGINA_CATEGORIA
c1bee8e431e849082b41,Buttigliera Alta,970 Immobili in vendita a Buttigliera Alta - Mitula Case,Mercato generale,https://immobiliare.mitula.it/buttigliera-alta,EVIDENZA_INSUFFICIENTE
c21365ea16b964f6c0a4,Giaglione,29 Rustici in vendita a Giaglione - Mitula Case,Mercato residenziale,https://immobiliare.mitula.it/rustico-giaglione,EVIDENZA_INSUFFICIENTE
06b3700b9109ecb2a716,Pianezza,Case in vendita Pianezza - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/pianezza/,PAGINA_CATEGORIA
fa1766875ffd2a6d95a1,Rivoli,Ghigo agenzia immobiliare a Rivoli - Trova o vendi casa,Agenzie,https://www.ghigoimmobiliare.it/,EVIDENZA_INSUFFICIENTE
bd8697ba57dbe91d0fed,Alpignano,13 immobili zona belvedere in vendita a Alpignano - Trovit,Trovit,https://case.trovit.it/zona-belvedere-alpignano,EVIDENZA_INSUFFICIENTE
7462369f80d2a9ee525a,Alpignano,Appartamenti in vendita Alpignano - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/appartamenti/torino/alpignano/,EVIDENZA_INSUFFICIENTE
8b7b90b60354bc109786,Alpignano,Agenzia Immobiliare Rivoli - Alpignano - Rosta - Ivrea | CaseItalia Group,Agenzie,https://www.caseitaliagroup.com/,EVIDENZA_INSUFFICIENTE
5b85dafcbae66f02a336,Avigliana,"Teck Immobiliare - Avigliana, Città Metropolitana di Torino",Agenzie,https://odriu.eu/teck-immobiliare/,EVIDENZA_INSUFFICIENTE
be3b1fe329030a5a38cd,Bardonecchia,GLOBAL CASA - Bardonecchia,Mercato residenziale,https://bardonecchia.it/strutture/global-casa/,EVIDENZA_INSUFFICIENTE
4e5460259409f11f90a8,Bardonecchia,Gruppo Immobiliare Bardonecchia - Immobili in affitto e in vendita,Agenzie,https://www.gbi.it/,EVIDENZA_INSUFFICIENTE
a1ae0b656bea609a2d60,Bussoleno,30 immobili asta in vendita a Bussoleno - Trovit,Trovit,https://case.trovit.it/asta-bussoleno,EVIDENZA_INSUFFICIENTE
73e2a3e3f1a26af8c6af,Caprie,Appartamenti in vendita Caprie - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/appartamenti/torino/caprie/,EVIDENZA_INSUFFICIENTE
ebede1e83ca6a4c912b5,Caselette,Case e appartamenti a Caselette. Immobili in vendita a Caselette - Nestoria,Nestoria,https://www.nestoria.it/immobiliare/vendita/caselette,EVIDENZA_INSUFFICIENTE
88ad8357caddbdaec919,Chianocco,Appartamento in vendita a Chianocco - Vernetto Cod. VERNETTO,Mercato residenziale,https://www.fcimmobiliare.it/i-672130-vendita-appartamento-chianocco-vernetto/,EVIDENZA_INSUFFICIENTE
29c8a75b223352be8c9b,Chiusa di San Michele,Casa Chiusa Di San Michele - 16 case in vendita in Chiusa Di San ...,Mercato residenziale,https://www.nuroa.it/vendita-immobili/casa-chiusa-di-san-michele,EVIDENZA_INSUFFICIENTE
ad901b3c9ae5ee562a0f,Coazze,Case in vendita da Privati a Coazze - CasaDaPrivato.it,Mercato residenziale,https://www.casadaprivato.it/annunci-vendita/immobili/torino-coazze,PAGINA_CATEGORIA
e02c71dbd5aedd7e0a04,Coazze,224 immobili in vendita a Coazze - Trovit,Trovit,https://case.trovit.it/coazze,EVIDENZA_INSUFFICIENTE
94c1f9e47a4396769d1c,Coazze,10.514 immobili in vendita a Coazze Torino - Nestoria,Nestoria,https://www.nestoria.it/immobiliare/vendita/coazze_torino,EVIDENZA_INSUFFICIENTE
7ec321fa5ec90ddaf0e9,Coazze,44 Rustici in vendita a Coazze - Mitula Case,Agenzie,https://immobiliare.mitula.it/rustico-coazze,EVIDENZA_INSUFFICIENTE
dd1e48ed3885f904503f,Collegno,"COLLEGNO, VENDESI APPARTAMENTO A 98.000 € | TorinoCintura",Mercato generale,https://www.torinocintura.it/2026/08/25/collegno-vendesi-appartamento-a-98-000-e/,EVIDENZA_INSUFFICIENTE
